"ACTION_DIRECTION","ACTION_SCORE","ACTION_TYPE","edge-label","EDGE_UNIQUE_SUID","EVIDENCE_CODE","INITIAL_SOURCE_NAME","INITIAL_TARGET_NAME","interaction","INTERACTION_TYPE","KappaScore","name","Regulates Source","Regulates Target","selected","shared interaction","shared name","SIGNUM","SOURCE_NAME","SOURCE_SYMBOL_NAME","TARGET_NAME","TARGET_SYMBOL_NAME","UNIQUE_ID"
"",,"","","8608","TAS","R-HSA:168643","5970","gene-term","R-HSA:168643",,"Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) RELA","","","false","gene-term","Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) RELA","","","","","","R-HSA:168643 (gene-term) 5970"
"",,"","","8605","TAS","R-HSA:168643","5600","gene-term","R-HSA:168643",,"Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) MAPK11","","","false","gene-term","Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) MAPK11","","","","","","R-HSA:168643 (gene-term) 5600"
"",,"","","8602","TAS","R-HSA:168643","4210","gene-term","R-HSA:168643",,"Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) MEFV","","","false","gene-term","Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) MEFV","","","","","","R-HSA:168643 (gene-term) 4210"
"",,"","","8599","TAS","R-HSA:168643","330","gene-term","R-HSA:168643",,"Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) BIRC3","","","false","gene-term","Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) BIRC3","","","","","","R-HSA:168643 (gene-term) 330"
"",,"","","8596","TAS","R-HSA:168643","329","gene-term","R-HSA:168643",,"Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) BIRC2","","","false","gene-term","Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) BIRC2","","","","","","R-HSA:168643 (gene-term) 329"
"",,"","","8593","TAS","R-HSA:168643","22861","gene-term","R-HSA:168643",,"Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) NLRP1","","","false","gene-term","Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) NLRP1","","","","","","R-HSA:168643 (gene-term) 22861"
"",,"","","8590","TAS","R-HSA:168643","1540","gene-term","R-HSA:168643",,"Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) CYLD","","","false","gene-term","Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) CYLD","","","","","","R-HSA:168643 (gene-term) 1540"
"",,"","","8587","TAS","R-HSA:168643","1432","gene-term","R-HSA:168643",,"Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) MAPK14","","","false","gene-term","Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) MAPK14","","","","","","R-HSA:168643 (gene-term) 1432"
"",,"","","8584","TAS","R-HSA:168643","14","gene-term","R-HSA:168643",,"Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) AAMP","","","false","gene-term","Nucleotide-binding%20domain,%20leucine%20rich%20repeat%20containing%20receptor%20(NLR)%20signaling%20pathways (gene-term) AAMP","","","","","","R-HSA:168643 (gene-term) 14"
"",,"","","8578","TAS","R-HSA:168638","6233","gene-term","R-HSA:168638",,"NOD1/2%20Signaling%20Pathway (gene-term) RPS27A","","","false","gene-term","NOD1/2%20Signaling%20Pathway (gene-term) RPS27A","","","","","","R-HSA:168638 (gene-term) 6233"
